FIPS,TOTAL
13093.0,14
13095.0,190
13097.0,71
13099.0,33
13101.0,2
13103.0,28
13105.0,8
13107.0,36
13109.0,6
13111.0,28
13113.0,52
13115.0,53
13117.0,50
13119.0,16
13121.0,603
13123.0,17
13125.0,2
13127.0,99
13129.0,39
13131.0,25
13133.0,25
13135.0,429
13137.0,74
13139.0,165
13141.0,44
13143.0,10
13145.0,25
13147.0,16
13149.0,6
13151.0,109
13153.0,86
13155.0,6
13157.0,39
13159.0,4
13161.0,22
13163.0,32
13165.0,32
13167.0,22
13169.0,13
13171.0,19
13173.0,7
13175.0,85
13177.0,26
13179.0,24
13181.0,7
13183.0,4
13185.0,85
13187.0,14
13193.0,10
13195.0,11
13197.0,9
13189.0,15
13191.0,7
13199.0,14
13201.0,2
13205.0,45
13207.0,55
13209.0,7
13211.0,4
13213.0,8
13215.0,173
13217.0,93
13219.0,27
13221.0,11
80013.0,174
13223.0,59
13225.0,24
13227.0,9
13229.0,24
13231.0,11
13233.0,25
13235.0,22
13237.0,27
13239.0,1
13241.0,11
13243.0,29
13245.0,173
13247.0,40
13249.0,2
13251.0,11
13253.0,11
13255.0,62
13257.0,42
13259.0,16
13261.0,68
13263.0,7
13265.0,0
13267.0,13
13269.0,12
13271.0,22
13273.0,32
13275.0,69
13277.0,60
13279.0,56
13281.0,11
13283.0,11
13285.0,104
13287.0,24
13289.0,9
90013.0,6
13291.0,23
13293.0,68
13295.0,42
13297.0,64
13299.0,62
13301.0,5
13303.0,11
13305.0,29
13307.0,2
13309.0,14
13311.0,22
13313.0,63
13315.0,25
13317.0,6
13319.0,18
13321.0,32
99999.0,3
66.0,63
15001.0,18
15003.0,148
15005.0,0
15007.0,0
15009.0,18
80015.0,1
90015.0,0
16001.0,156
16003.0,2
16005.0,9
16007.0,1
16009.0,3
16011.0,11
16013.0,6
16015.0,2
16017.0,1
16019.0,22
16021.0,1
16023.0,0
16025.0,0
16027.0,105
16029.0,3
16031.0,8
16033.0,0
16035.0,0
16037.0,1
16039.0,4
16041.0,1
16043.0,3
16045.0,4
16047.0,2
16049.0,0
16051.0,3
16053.0,7
16055.0,46
16057.0,0
16059.0,0
16061.0,2
16063.0,0
16065.0,2
16067.0,8
16069.0,24
16071.0,0
80016.0,0
16073.0,5
16075.0,10
16077.0,1
16079.0,19
16081.0,1
16083.0,42
90016.0,0
16085.0,1
16087.0,7
17001.0,14
17003.0,1
17005.0,9
17007.0,24
17009.0,0
17011.0,16
17013.0,0
17015.0,7
17017.0,11
17019.0,28
17021.0,25
17023.0,6
17025.0,11
17027.0,23
17029.0,38
17031.0,5339
17033.0,6
17035.0,5
17039.0,3
17037.0,42
17041.0,8
17043.0,595
17045.0,8
17047.0,0
17049.0,3
17051.0,17
17053.0,9
17055.0,6
17057.0,0
17059.0,2
17061.0,15
17063.0,7
17065.0,2
17067.0,3
17069.0,0
17071.0,0
17073.0,5
17075.0,19
17077.0,25
17079.0,10
17081.0,43
17083.0,21
17085.0,5
17087.0,0
17089.0,338
17091.0,78
17093.0,27
17095.0,9
17099.0,58
17097.0,501
17101.0,8
17103.0,1
17105.0,9
17107.0,4
17115.0,48
17117.0,8
17119.0,152
17121.0,11
17123.0,3
17125.0,1
17127.0,2
17109.0,15
17111.0,120
17113.0,30
17129.0,1
17131.0,6
17133.0,27
17135.0,14
17137.0,24
17139.0,5
17141.0,7
80017.0,0
17143.0,59
17145.0,16
17147.0,0
17149.0,2
17151.0,1
17153.0,1
17155.0,0
17157.0,14
17159.0,14
17161.0,87
17165.0,7
17167.0,54
17169.0,1
17171.0,0
17173.0,8
17163.0,210
17175.0,2
17177.0,7
17179.0,45
90017.0,260
17181.0,25
17183.0,7
17185.0,5
17187.0,6
17189.0,1
17191.0,9
17193.0,1
17195.0,21
17197.0,414
17199.0,57
17201.0,163
17203.0,10
18001.0,5
18003.0,219
18005.0,57
18007.0,0
18009.0,3
18011.0,48
18013.0,3
18015.0,13
18017.0,17
18019.0,57
18021.0,6
18023.0,15
18025.0,1
18027.0,31
18033.0,11
18029.0,28
18031.0,39
18035.0,73
18037.0,21
18039.0,128
18041.0,15
18043.0,65
18045.0,3
18047.0,25
18049.0,2
18051.0,9
18053.0,39
18055.0,36
18057.0,112
18059.0,44
18061.0,24
18063.0,128
18065.0,27
18067.0,66
18069.0,5
18071.0,11
18073.0,4
18075.0,6
18077.0,4
18079.0,13
18081.0,127
18083.0,10
18085.0,20
18087.0,14
18091.0,52
18089.0,346
18093.0,32
18095.0,86
18097.0,777
18099.0,26
18101.0,0
18103.0,4
18105.0,38
18107.0,22
18109.0,40
18111.0,11
18113.0,33
18115.0,7
18117.0,24
80018.0,0
18119.0,1
18121.0,2
18123.0,14
18125.0,9
18127.0,47
18129.0,3
18131.0,1
18133.0,15
18135.0,8
18137.0,8
18139.0,4
18143.0,13
18145.0,29
18147.0,6
18141.0,151
18149.0,7
18151.0,8
18153.0,12
18155.0,0
18157.0,13
18159.0,23
90018.0,233
18161.0,0
18163.0,48
18165.0,1
18167.0,32
18169.0,9
18171.0,1
18173.0,60
18175.0,2
18177.0,19
18179.0,5
18181.0,15
18183.0,6
19001.0,1
19003.0,0
19005.0,8
19007.0,3
19009.0,1
19011.0,1
19013.0,96
19015.0,8
19017.0,7
19019.0,3
19021.0,12
19023.0,2
19025.0,3
19027.0,8
19029.0,2
19031.0,5
19033.0,23
19035.0,2
19037.0,1
19039.0,3
19041.0,4
19043.0,3
19045.0,25
19047.0,12
19049.0,43
19051.0,4
19053.0,0
19055.0,8
19057.0,9
19059.0,7
19061.0,52
19063.0,14
19065.0,2
19067.0,11
19069.0,18
19071.0,1
19073.0,0
19075.0,4
19077.0,14
19079.0,3
19081.0,4
19083.0,5
19085.0,7
19087.0,5
19089.0,8
19091.0,3
19093.0,2
19095.0,2
19097.0,3
19099.0,34
19101.0,1
19103.0,30
19105.0,3
19107.0,1
19109.0,0
19111.0,9
19113.0,122
19115.0,15
19117.0,6
19119.0,7
19121.0,2
19123.0,22
19125.0,10
19127.0,36
19129.0,1
19131.0,0
19133.0,1
19135.0,11
19137.0,5
19139.0,57
19141.0,9
19143.0,0
80019.0,0
19145.0,0
19147.0,1
19149.0,24
19151.0,2
19153.0,281
19155.0,44
19157.0,11
19159.0,2
19161.0,3
19163.0,33
19165.0,1
19167.0,11
19169.0,17
19171.0,36
19173.0,2
90019.0,0
19175.0,3
19177.0,2
19179.0,62
19181.0,6
19183.0,11
19185.0,3
19187.0,14
19189.0,16
19191.0,9
19193.0,85
19195.0,0
19197.0,1
20001.0,1
20003.0,0
20005.0,4
20007.0,0
20009.0,7
20011.0,3
20013.0,5
20015.0,3
20017.0,2
20019.0,0
20021.0,7
20023.0,5
20025.0,1
20027.0,2
20029.0,1
20031.0,9
20033.0,0
20035.0,9
20037.0,10
20039.0,1
20041.0,3
20043.0,0
20045.0,15
20047.0,0
20049.0,0
20051.0,16
20053.0,0
20055.0,16
20057.0,13
20059.0,3
20061.0,4
20063.0,9
20065.0,1
20067.0,8
20069.0,0
20071.0,0
20073.0,0
20075.0,0
20077.0,2
20079.0,7
20081.0,1
20083.0,0
20085.0,4
20087.0,4
20089.0,1
20091.0,173
20093.0,3
20095.0,3
20097.0,0
20099.0,5
20101.0,0
20103.0,17
20105.0,1
20107.0,1
20109.0,0
20111.0,37
20115.0,1
20117.0,0
20113.0,5
20119.0,1
20121.0,2
20123.0,0
20125.0,6
20127.0,0
20129.0,2
20131.0,1
20133.0,0
20135.0,8
20137.0,1
20139.0,1
20141.0,0
20143.0,0
80020.0,0
20145.0,1
20147.0,9
20149.0,0
20151.0,0
20153.0,0
20155.0,9
20157.0,1
20159.0,1
20161.0,11
20163.0,7
20165.0,0
20167.0,3
20169.0,13
20171.0,1
20173.0,120
20175.0,7
20177.0,69
20179.0,0
20181.0,0
20183.0,0
20185.0,1
20187.0,2
20189.0,1
20191.0,3
20193.0,2
20195.0,3
90020.0,0
20197.0,1
20199.0,0
20201.0,0
20203.0,0
20205.0,2
20207.0,0
20209.0,145
21001.0,20
21003.0,9
21005.0,1
21007.0,1
21009.0,13
21011.0,1
21013.0,16
21015.0,25
21017.0,1
21019.0,15
21021.0,0
21023.0,1
21025.0,0
21027.0,2
21029.0,14
21031.0,16
21033.0,0
21035.0,9
21037.0,16
21039.0,1
21041.0,5
21043.0,4
21045.0,15
21047.0,26
21049.0,10
21051.0,6
21053.0,2
21055.0,1
21057.0,0
21059.0,24
21061.0,12
21063.0,0
21065.0,0
21067.0,82
21069.0,0
21071.0,4
21073.0,13
21075.0,3
21077.0,8
21079.0,3
21081.0,6
21083.0,29
21085.0,15
21087.0,8
21089.0,7
21091.0,1
21093.0,12
21095.0,13
21097.0,1
21099.0,1
21101.0,17
21103.0,2
21105.0,1
21107.0,40
21109.0,17
21111.0,326
21113.0,1
21115.0,2
21117.0,49
21119.0,2
21121.0,9
21123.0,1
21125.0,7
21127.0,0
21129.0,0
21131.0,0
21133.0,2
21135.0,15
21137.0,16
21139.0,1
21141.0,30
21143.0,4
21151.0,11
21153.0,0
21155.0,8
21157.0,4
21159.0,3
21161.0,2
21145.0,11
21147.0,1
21149.0,2
21163.0,3
21165.0,1
21167.0,5
21169.0,2
21171.0,4
21173.0,4
21175.0,0
21177.0,12
21179.0,4
21181.0,1
21183.0,9
21185.0,26
80021.0,0
21187.0,2
21189.0,1
21191.0,0
21193.0,9
21195.0,3
21197.0,0
21199.0,12
21201.0,1
21203.0,1
21205.0,1
21207.0,6
21209.0,17
21211.0,24
21213.0,8
21215.0,0
21217.0,7
21219.0,8
21221.0,0
21223.0,0
90021.0,0
21225.0,5
21227.0,57
21229.0,1
21231.0,0
21233.0,5
21235.0,5
21237.0,0
21239.0,0
22001.0,99
22003.0,53
22005.0,98
22007.0,24
22009.0,62
22011.0,39
22013.0,33
22015.0,112
22017.0,382
22019.0,221
22021.0,3
22023.0,2
22025.0,13
22027.0,24
22029.0,16
22031.0,35
22033.0,452
22035.0,6
22037.0,75
22039.0,37
22041.0,44
22043.0,30
22045.0,93
22047.0,58
22049.0,22
22051.0,580
22053.0,42
22059.0,10
22055.0,136
22057.0,124
22061.0,48
22063.0,79
22065.0,8
22067.0,24
22069.0,26
22071.0,589
22073.0,158
80022.0,0
22075.0,19
22077.0,40
22079.0,153
22081.0,24
22083.0,15
22085.0,14
22087.0,32
22089.0,63
22091.0,4
22093.0,40
22095.0,105
22097.0,132
22099.0,61
22101.0,83
22103.0,269
22105.0,122
22107.0,2
22109.0,122
90022.0,200
22111.0,49
22113.0,68
22115.0,55
22117.0,68
22119.0,34
22121.0,42
22123.0,10
22125.0,25
22127.0,19
23001.0,10
23003.0,1
23005.0,70
23007.0,1
23009.0,1
23011.0,11
23013.0,1
23015.0,1
80023.0,0
23017.0,2
23019.0,6
23021.0,0
23023.0,0
23025.0,8
90023.0,0
23027.0,14
23029.0,0
23031.0,19
24001.0,23
24003.0,262
24005.0,650
24510.0,495
24009.0,28
24011.0,8
24013.0,128
24015.0,36
24017.0,101
24019.0,10
24021.0,137
24023.0,1
24025.0,77
24027.0,123
24029.0,24
24031.0,860
80024.0,0
24033.0,841
24035.0,26
24039.0,5
24037.0,59
24041.0,6
90024.0,11
24043.0,42
24045.0,49
24047.0,30
25001.0,180
25003.0,51
25005.0,729
25007.0,0
0,2
25009.0,1320
25011.0,71
25013.0,796
25015.0,152
25017.0,2214
25019.0,0
25021.0,1087
80025.0,0
25023.0,800
25025.0,1155
90025.0,5
25027.0,1140
26001.0,2
26003.0,0
26005.0,7
26007.0,14
26009.0,0
26011.0,3
26013.0,4
26015.0,5
26017.0,55
26019.0,2
26021.0,78
26023.0,10
26025.0,53
26027.0,23
26029.0,4
26031.0,2
26033.0,0
26035.0,6
26037.0,14
26039.0,5
26041.0,16
26043.0,5
26045.0,10
26047.0,4
0,5
26049.0,321
26051.0,2
26053.0,2
26055.0,12
26057.0,16
26059.0,27
26061.0,6
26063.0,5
26065.0,57
26067.0,7
26069.0,14
26071.0,17
26073.0,15
26075.0,60
26077.0,98
26079.0,4
26081.0,178
26083.0,0
